,vw,o,c,h,l,n,prev_close,returns,outlier_id,day type,Date,Time
0,1.1496,1.14874,1.1492,1.15096,1.14803,7789.0,,,1,prior day,2010-05-21,00:00:00
1,1.15,1.1492,1.15099,1.15252,1.14815,5850.0,1.1492,0.0015576052906369285,1,prior day,2010-05-21,01:00:00
2,1.1526,1.15103,1.15387,1.15737,1.15017,6241.0,1.15099,0.0025021937636295656,1,prior day,2010-05-21,02:00:00
3,1.155,1.15392,1.15403,1.15797,1.15303,4263.0,1.15387,0.00013866380094806,1,prior day,2010-05-21,03:00:00
4,1.1522,1.15399,1.15319,1.15433,1.14992,7278.0,1.15403,-0.0007278840238121643,1,prior day,2010-05-21,04:00:00
5,1.1519,1.15321,1.14859,1.15593,1.14818,6276.0,1.15319,-0.003988935041059962,1,prior day,2010-05-21,05:00:00
6,1.1492,1.14852,1.14549,1.15211,1.14496,9714.0,1.14859,-0.0026989613352023808,1,prior day,2010-05-21,06:00:00
7,1.1499,1.14551,1.15039,1.15143,1.14539,9169.0,1.14549,0.004277645374468679,1,prior day,2010-05-21,07:00:00
8,1.1504,1.15037,1.1518,1.15192,1.14876,10825.0,1.15039,0.0012256712940827991,1,prior day,2010-05-21,08:00:00
9,1.1494,1.15182,1.1494,1.15193,1.14717,9345.0,1.1518,-0.002083695085952386,1,prior day,2010-05-21,09:00:00
10,1.1489,1.1494,1.15004,1.15056,1.14675,6854.0,1.1494,0.0005568122498694745,1,prior day,2010-05-21,10:00:00
11,1.1501,1.15004,1.1491,1.15191,1.14856,7479.0,1.15004,-0.0008173628743347544,1,prior day,2010-05-21,11:00:00
12,1.1516,1.1491,1.14916,1.15427,1.14862,10765.0,1.1491,5.221477678178486e-05,1,prior day,2010-05-21,12:00:00
13,1.1497,1.14916,1.14717,1.15205,1.14645,12890.0,1.14916,-0.0017316996762852313,1,prior day,2010-05-21,13:00:00
14,1.1467,1.14715,1.14825,1.14856,1.14496,10670.0,1.14717,0.0009414472135777347,1,prior day,2010-05-21,14:00:00
15,1.149,1.14825,1.14845,1.15123,1.14686,7935.0,1.14825,0.00017417809710426995,1,prior day,2010-05-21,15:00:00
16,1.1476,1.14844,1.14836,1.14896,1.14655,5271.0,1.14845,-7.836649397006703e-05,1,prior day,2010-05-21,16:00:00
17,1.1485,1.14836,1.14819,1.14925,1.14756,3947.0,1.14836,-0.00014803720087777655,1,prior day,2010-05-21,17:00:00
18,1.1474,1.14827,1.14748,1.14865,1.1465,3039.0,1.14819,-0.0006183645563887409,1,prior day,2010-05-21,18:00:00
