,0
0,0.85446
1,0.85417
2,0.85442
3,0.85195
4,0.84904
5,0.84754
6,0.84983
7,0.85236
8,0.85008
9,0.84933
10,0.849
11,0.84801
12,0.84442
13,0.84799
14,0.84888
15,0.85274
16,0.8532
17,0.8517
18,0.8505
19,0.85
20,0.8523
21,0.8523
22,0.85296
23,0.85482
24,0.85435
25,0.85487
26,0.85527
27,0.8556
28,0.8558
29,0.85689
30,0.8543
31,0.8557
32,0.85429
33,0.85463
34,0.85448
35,0.85386
36,0.85297
37,0.85202
38,0.85249
39,0.8531
40,0.85353
41,0.85378
42,0.85298
43,0.85219
44,0.85134
45,0.8518
46,0.85209
47,0.8524
48,0.853464224141324
49,0.85635
50,0.85649
51,0.85789
52,0.85888
53,0.85704
54,0.85627
55,0.85577
56,0.85874
57,0.8629
58,0.8624
59,0.8619
60,0.86109
61,0.8642
62,0.86462
63,0.86521
64,0.86297
65,0.8613
66,0.86169
67,0.86159
68,0.86151
69,0.8616
70,0.86073
71,0.85997
72,0.85849
73,0.85977
74,0.85996
75,0.85986
76,0.8589
77,0.8583
78,0.85962
79,0.85884
80,0.85834
81,0.8573
82,0.85791
83,0.85735
84,0.86202
85,0.86432
86,0.8648
87,0.8656
88,0.86614
89,0.86669
90,0.86585
91,0.86556
92,0.8664
93,0.8661
94,0.86615
95,0.86694
96,0.86622
97,0.86624
98,0.86643
99,0.86619
100,0.865
101,0.86598
102,0.86636
103,0.86581
104,0.86538
105,0.86539
106,0.86485
107,0.86439
108,0.86463
109,0.86446
110,0.8645
111,0.8637
112,0.8642
113,0.8647
114,0.86467
115,0.8643
116,0.8652
117,0.86504
118,0.86504
119,0.86504
120,0.86504
121,0.86524
122,0.86536
123,0.86631
124,0.8666
125,0.86749
126,0.86749
127,0.86795
128,0.8683
129,0.86806
130,0.86837
131,0.86873
132,0.86908
133,0.86849
134,0.86823
135,0.8673
136,0.86675
137,0.86525
138,0.86529
139,0.86482
140,0.86502
141,0.86509
142,0.8653
143,0.86482
144,0.8663
145,0.86604
146,0.86576
147,0.8657
148,0.86731
149,0.86683
150,0.86746
151,0.86701
152,0.86725
153,0.8676
154,0.8667
155,0.86654
156,0.86659
157,0.8656
158,0.8652
159,0.86538
160,0.8646
161,0.86538
162,0.86392
163,0.86449
164,0.8647
165,0.8641
166,0.8649
167,0.86491
168,0.86544
169,0.86546
170,0.86431
171,0.8648
172,0.8645
173,0.8649
174,0.86471
175,0.86354
176,0.8622
177,0.86252
178,0.8626
179,0.8627
180,0.8651
181,0.86423
182,0.86329
183,0.8636
184,0.86474
185,0.86524
186,0.86491
187,0.86534
188,0.86503
189,0.86514
190,0.86488
191,0.86496
192,0.86502
193,0.86595
194,0.86609
195,0.8657
196,0.8654
197,0.8654
198,0.86501
199,0.8653
200,0.8658
201,0.86667
202,0.8661
203,0.86625
204,0.87302
205,0.87209
206,0.8708
207,0.87126
208,0.87216
209,0.87281
210,0.87216
211,0.8722
212,0.8725
213,0.87262
214,0.87252
215,0.87256
216,0.87193
217,0.87115
218,0.87121
219,0.8712
220,0.87113
221,0.87116
222,0.87093
223,0.86968
224,0.86864
225,0.8687
226,0.86797
227,0.86734
228,0.8666
229,0.86724
230,0.86829
231,0.86845
232,0.8684
233,0.86725
234,0.86693
235,0.8664
236,0.86588
237,0.86674
238,0.86674
239,0.86674
