,vw,o,c,h,l,n,prev_close,daily_return,abs_daily_return,pct_change,direction,Recovery,outlier_id,day type,day,Date
0,1.136,1.1331,1.13252,1.1445,1.12966,219929.0,1.1331,-0.0005118700909010899,0.0005118700909010899,0.05118700909011453,Down,fast recovery,1,prior day,Monday,2010-05-17
1,1.1358,1.1325,1.15303,1.15312,1.12665,239012.0,1.13252,0.01811005545155938,0.01811005545155938,1.8110055451559415,Up,fast recovery,1,prior day,Tuesday,2010-05-18
2,1.1503,1.15299,1.15232,1.1585,1.14174,225568.0,1.15303,-0.0006157688871928644,0.0006157688871928644,0.06157688871928357,Down,fast recovery,1,prior day,Wednesday,2010-05-19
3,1.1508,1.15235,1.14872,1.15736,1.14512,191518.0,1.15232,-0.003124132185504068,0.003124132185504068,0.3124132185504114,Down,fast recovery,1,prior day,Thursday,2010-05-20
4,1.1499,1.14874,1.14911,1.15797,1.14496,148195.0,1.14872,0.0003395083223066652,0.0003395083223066652,0.03395083223065587,Up,fast recovery,1,prior day,Friday,2010-05-21
5,1.1565,1.15104,1.16024,1.16191,1.14913,116306.0,1.15103,0.008001529065271922,0.008001529065271922,0.8001529065271962,Up,fast recovery,1,outlier day,Monday,2010-05-24
6,1.1625,1.16023,1.15739,1.1695,1.15178,176660.0,1.16024,-0.002456388333448269,0.002456388333448269,0.24563883334483005,Down,fast recovery,1,post day,Tuesday,2010-05-25
7,1.1579,1.15739,1.15873,1.1623,1.15139,135028.0,1.15739,0.001157777412972394,0.001157777412972394,0.1157777412972294,Up,fast recovery,1,post day,Wednesday,2010-05-26
8,1.1552,1.15875,1.15214,1.16549,1.1484,142073.0,1.15873,-0.005687261053049542,0.005687261053049542,0.5687261053049508,Down,fast recovery,1,post day,Thursday,2010-05-27
9,1.1541,1.15223,1.15927,1.15929,1.14801,103597.0,1.15214,0.0061884840383981815,0.0061884840383981815,0.6188484038398112,Up,fast recovery,1,post day,Friday,2010-05-28
10,1.1499,1.14874,1.14911,1.15797,1.14496,148195.0,1.14872,0.0003395083223066652,0.0003395083223066652,0.03395083223065587,Up,slow recovery,2,prior day,Friday,2010-05-21
11,1.1565,1.15104,1.16024,1.16191,1.14913,116306.0,1.15103,0.008001529065271922,0.008001529065271922,0.8001529065271962,Up,slow recovery,2,prior day,Monday,2010-05-24
12,1.1625,1.16023,1.15739,1.1695,1.15178,176660.0,1.16024,-0.002456388333448269,0.002456388333448269,0.24563883334483005,Down,slow recovery,2,outlier day,Tuesday,2010-05-25
13,1.1579,1.15739,1.15873,1.1623,1.15139,135028.0,1.15739,0.001157777412972394,0.001157777412972394,0.1157777412972294,Up,slow recovery,2,post day,Wednesday,2010-05-26
14,1.1552,1.15875,1.15214,1.16549,1.1484,142073.0,1.15873,-0.005687261053049542,0.005687261053049542,0.5687261053049508,Down,slow recovery,2,post day,Thursday,2010-05-27
15,1.1541,1.15223,1.15927,1.15929,1.14801,103597.0,1.15214,0.0061884840383981815,0.0061884840383981815,0.6188484038398112,Up,slow recovery,2,post day,Friday,2010-05-28
16,1.1565,1.15104,1.16024,1.16191,1.14913,116306.0,1.15103,0.008001529065271922,0.008001529065271922,0.8001529065271962,Up,slow recovery,3,prior day,Monday,2010-05-24
17,1.1625,1.16023,1.15739,1.1695,1.15178,176660.0,1.16024,-0.002456388333448269,0.002456388333448269,0.24563883334483005,Down,slow recovery,3,prior day,Tuesday,2010-05-25
18,1.1579,1.15739,1.15873,1.1623,1.15139,135028.0,1.15739,0.001157777412972394,0.001157777412972394,0.1157777412972294,Up,slow recovery,3,outlier day,Wednesday,2010-05-26
19,1.1552,1.15875,1.15214,1.16549,1.1484,142073.0,1.15873,-0.005687261053049542,0.005687261053049542,0.5687261053049508,Down,slow recovery,3,post day,Thursday,2010-05-27
20,1.1541,1.15223,1.15927,1.15929,1.14801,103597.0,1.15214,0.0061884840383981815,0.0061884840383981815,0.6188484038398112,Up,slow recovery,3,post day,Friday,2010-05-28
21,1.1565,1.15104,1.16024,1.16191,1.14913,116306.0,1.15103,0.008001529065271922,0.008001529065271922,0.8001529065271962,Up,fast recovery,4,prior day,Monday,2010-05-24
22,1.1625,1.16023,1.15739,1.1695,1.15178,176660.0,1.16024,-0.002456388333448269,0.002456388333448269,0.24563883334483005,Down,fast recovery,4,prior day,Tuesday,2010-05-25
23,1.1579,1.15739,1.15873,1.1623,1.15139,135028.0,1.15739,0.001157777412972394,0.001157777412972394,0.1157777412972294,Up,fast recovery,4,prior day,Wednesday,2010-05-26
24,1.1552,1.15875,1.15214,1.16549,1.1484,142073.0,1.15873,-0.005687261053049542,0.005687261053049542,0.5687261053049508,Down,fast recovery,4,prior day,Thursday,2010-05-27
25,1.1541,1.15223,1.15927,1.15929,1.14801,103597.0,1.15214,0.0061884840383981815,0.0061884840383981815,0.6188484038398112,Up,fast recovery,4,outlier day,Friday,2010-05-28
26,1.1559,1.15743,1.15577,1.15825,1.15302,62078.0,1.1574,-0.0014083290133057027,0.0014083290133057027,0.14083290133056758,Down,fast recovery,4,post day,Monday,2010-05-31
