,date,v,vw,o,c,h,l,n,prev_close,returns,outlier_id,day type,day
0,2010-05-19 00:00:00,9373.0,1.1507,1.15299,1.15113,1.15302,1.14899,9373.0,,,1,prior day,Wednesday
1,2010-05-19 01:00:00,6584.0,1.1502,1.15114,1.14938,1.15219,1.14846,6584.0,1.15113,-0.0015202453241596678,1,prior day,Wednesday
2,2010-05-19 02:00:00,4968.0,1.1489,1.14939,1.14758,1.14972,1.14758,4968.0,1.14938,-0.0015660617028311122,1,prior day,Wednesday
3,2010-05-19 03:00:00,6480.0,1.1476,1.14753,1.14893,1.14959,1.14648,6480.0,1.14758,0.001176388574217015,1,prior day,Wednesday
4,2010-05-19 04:00:00,4950.0,1.1487,1.14893,1.14875,1.14981,1.14776,4950.0,1.14893,-0.00015666750802926984,1,prior day,Wednesday
5,2010-05-19 05:00:00,6427.0,1.1478,1.14873,1.14844,1.14935,1.14643,6427.0,1.14875,-0.0002698585418933906,1,prior day,Wednesday
6,2010-05-19 06:00:00,11241.0,1.149,1.14842,1.1468,1.15144,1.1467,11241.0,1.14844,-0.0014280241022603393,1,prior day,Wednesday
7,2010-05-19 07:00:00,17967.0,1.1482,1.14681,1.14834,1.15286,1.14514,17967.0,1.1468,0.0013428671084756494,1,prior day,Wednesday
8,2010-05-19 08:00:00,13049.0,1.1503,1.14834,1.15,1.15203,1.14814,13049.0,1.14834,0.0014455649023808236,1,prior day,Wednesday
9,2010-05-19 09:00:00,9866.0,1.1495,1.15,1.14954,1.15096,1.14824,9866.0,1.15,-0.00039999999999991735,1,prior day,Wednesday
10,2010-05-19 10:00:00,8652.0,1.1495,1.14954,1.14965,1.15117,1.14824,8652.0,1.14954,9.569045009312812e-05,1,prior day,Wednesday
11,2010-05-19 11:00:00,13586.0,1.1479,1.14965,1.14702,1.14965,1.14654,13586.0,1.14965,-0.0022876527638847756,1,prior day,Wednesday
12,2010-05-19 12:00:00,23384.0,1.1471,1.14701,1.15193,1.15275,1.14174,23384.0,1.14702,0.004280657704312018,1,prior day,Wednesday
13,2010-05-19 13:00:00,17859.0,1.1502,1.15193,1.14793,1.15301,1.14575,17859.0,1.15193,-0.0034724332207686265,1,prior day,Wednesday
14,2010-05-19 14:00:00,22377.0,1.1533,1.14791,1.15279,1.15811,1.14766,22377.0,1.14793,0.004233707630256276,1,prior day,Wednesday
15,2010-05-19 15:00:00,10977.0,1.1557,1.15281,1.1564,1.1585,1.15241,10977.0,1.15279,0.0031315330632640057,1,prior day,Wednesday
16,2010-05-19 16:00:00,1457.0,1.1563,1.15641,1.15495,1.15712,1.15495,1457.0,1.1564,-0.0012538913870634497,1,prior day,Wednesday
17,2010-05-19 17:00:00,8410.0,1.1548,1.15495,1.15467,1.15665,1.15269,8410.0,1.15495,-0.00024243473743437895,1,prior day,Wednesday
18,2010-05-19 18:00:00,8570.0,1.1531,1.15465,1.15404,1.15477,1.15169,8570.0,1.15467,-0.0005456104341501298,1,prior day,Wednesday
