,v,vw,o,c,h,l,n,date,daily_return,abs_daily_return,year,day,is_outlier
0,57901,0.8828,0.87925,0.88478,0.88651,0.87902,57901,2022-01-03,,,2022,Monday,0
1,62051,0.8854,0.8846,0.88624,0.88709,0.883,62051,2022-01-04,0.0016501277153642135,0.0016501277153642135,2022,Tuesday,0
2,64819,0.8838,0.88627,0.8839,0.88673,0.8811,64819,2022-01-05,-0.002640368297526674,0.002640368297526674,2022,Wednesday,0
3,68551,0.8844,0.88409,0.8852,0.88613,0.8823,68551,2022-01-06,0.0014707546102499247,0.0014707546102499247,2022,Thursday,0
4,45968,0.8833,0.88531,0.88,0.88571,0.879662,45968,2022-01-07,-0.0058743786714866575,0.0058743786714866575,2022,Friday,0
5,64212,0.883,0.88074,0.8825,0.88606,0.8802,64212,2022-01-10,0.0028409090909089496,0.0028409090909089496,2022,Monday,0
6,57807,0.8815,0.8826,0.87978,0.8839,0.8789,57807,2022-01-11,-0.0030821529745042042,0.0030821529745042042,2022,Tuesday,0
7,60298,0.8775,0.87979,0.87411,0.88064,0.8729,60298,2022-01-12,-0.006444793016435857,0.006444793016435857,2022,Wednesday,0
8,62546,0.8725,0.87414,0.87282,0.87442,0.8709,62546,2022-01-13,-0.001475786800288259,0.001475786800288259,2022,Thursday,0
9,64606,0.8736,0.87283,0.87592,0.87728,0.8707,64606,2022-01-14,0.0035517059645746585,0.0035517059645746585,2022,Friday,0
10,46290,0.8761,0.87671,0.8762,0.87777,0.874355,46290,2022-01-17,0.00031966389624615843,0.00031966389624615843,2022,Monday,0
11,74512,0.8791,0.87638,0.8825,0.88377,0.8754,74512,2022-01-18,0.0071901392376170215,0.0071901392376170215,2022,Tuesday,0
12,63020,0.8818,0.88265,0.88156,0.88345,0.8803,63020,2022-01-19,-0.0010651558073653256,0.0010651558073653256,2022,Wednesday,0
13,63245,0.8816,0.88155,0.88391,0.88468,0.8794,63245,2022-01-20,0.0026657289350695557,0.0026657289350695557,2022,Thursday,0
14,61679,0.8821,0.88388,0.88144,0.88485,0.8801,61679,2022-01-21,-0.002794402145014696,0.002794402145014696,2022,Friday,0
15,74573,0.8835,0.88171,0.8828,0.88566,0.8816,74573,2022-01-24,0.0015429297513160911,0.0015429297513160911,2022,Monday,0
16,63165,0.8855,0.88307,0.88468,0.88778,0.8828,63165,2022-01-25,0.0021295876755778043,0.0021295876755778043,2022,Tuesday,0
17,66009,0.8865,0.88469,0.8895,0.89001,0.8839,66009,2022-01-26,0.005448297689560011,0.005448297689560011,2022,Wednesday,0
18,75688,0.8946,0.88959,0.8971,0.89825,0.8893,75688,2022-01-27,0.008544125913434675,0.008544125913434675,2022,Thursday,0
19,69525,0.8972,0.89727,0.897,0.89911,0.894855,69525,2022-01-28,-0.00011147029316682655,0.00011147029316682655,2022,Friday,0
20,75790,0.894,0.89664,0.8905,0.8973,0.8889,75790,2022-01-31,-0.007246376811594235,0.007246376811594235,2022,Monday,0
21,70656,0.8885,0.8905,0.887,0.89116,0.886368,70656,2022-02-01,-0.003930376193149843,0.003930376193149843,2022,Tuesday,0
22,63206,0.885,0.88703,0.88497,0.88755,0.8824,63206,2022-02-02,-0.00228861330326946,0.00228861330326946,2022,Wednesday,0
23,85786,0.8808,0.88496,0.8744,0.88749,0.8731,85786,2022-02-03,-0.011943907703086065,0.011943907703086065,2022,Thursday,0
24,46006,0.8733,0.87445,0.8733,0.87626,0.8715,46006,2022-02-04,-0.0012580054894785198,0.0012580054894785198,2022,Friday,0
25,79114,0.8744,0.87297,0.8739,0.87602,0.8724,79114,2022-02-07,0.0006870491240125176,0.0006870491240125176,2022,Monday,0
26,69612,0.8759,0.87398,0.87559,0.87744,0.8732,69612,2022-02-08,0.0019338597093487842,0.0019338597093487842,2022,Tuesday,0
27,63362,0.8749,0.87559,0.87553,0.87697,0.8735,63362,2022-02-09,-6.852522299238828e-05,6.852522299238828e-05,2022,Wednesday,0
28,61055,0.8737,0.87555,0.87627,0.87805,0.8698,61055,2022-02-10,0.0008452023345859594,0.0008452023345859594,2022,Thursday,0
29,95311,0.8787,0.87626,0.881,0.88261,0.875657,95311,2022-02-11,0.0053978796489666525,0.0053978796489666525,2022,Friday,0
30,99070,0.8833,0.87989,0.88445,0.88652,0.87953,99070,2022-02-14,0.003916004540295059,0.003916004540295059,2022,Monday,0
31,76866,0.8817,0.88444,0.88062,0.88468,0.87943,76866,2022-02-15,-0.004330374809203508,0.004330374809203508,2022,Tuesday,0
32,69667,0.8793,0.88063,0.87926,0.88141,0.8773,69667,2022-02-16,-0.0015443664690785175,0.0015443664690785175,2022,Wednesday,0
