,v,vw,o,c,h,l,n,date,prev_close,daily_return,average_daily_return,abs_daily_return,year,day,is_outlier
0,764,0.7609,0.7572,0.7611,0.7643,0.7571,764,2012-01-30,,,,,2012,Monday,0
1,750,0.7608,0.761,0.7646,0.7662,0.7568,750,2012-01-31,0.7611,0.00459860727893831,0.00459860727893831,0.00459860727893831,2012,Tuesday,0
2,781,0.7618,0.7647,0.7592,0.7676,0.7568,781,2012-02-01,0.7646,-0.007062516348417422,-0.001231954534739556,0.001231954534739556,2012,Wednesday,0
3,767,0.7602,0.7592,0.7612,0.7637,0.7578,767,2012-02-02,0.7592,0.002634351949420445,-0.0022140821994984885,0.0022140821994984885,2012,Thursday,0
4,692,0.761,0.7613,0.7597,0.7646,0.7583,692,2012-02-03,0.7612,-0.0019705727798212634,0.00033188958479959084,0.00033188958479959084,2012,Friday,0
5,750,0.764,0.7619,0.7623,0.7672,0.7609,750,2012-02-06,0.7597,0.003422403580360584,0.0007259154002696602,0.0007259154002696602,2012,Monday,0
6,738,0.7593,0.7624,0.7548,0.7637,0.7537,738,2012-02-07,0.7623,-0.009838646202282503,-0.0032081213109609596,0.0032081213109609596,2012,Tuesday,0
7,746,0.7541,0.755,0.7547,0.7561,0.7526,746,2012-02-08,0.7548,-0.00013248542660305906,-0.0049855658144427805,0.0049855658144427805,2012,Wednesday,0
8,1520,0.7529,0.7547,0.7531,0.7558,0.75081,1520,2012-02-09,0.7547,-0.0021200477010733347,-0.001126266563838197,0.001126266563838197,2012,Thursday,0
9,1846,0.7565,0.7532,0.7581,0.76011,0.7525,1846,2012-02-10,0.7531,0.006639224538573901,0.002259588418750283,0.002259588418750283,2012,Friday,0
10,1915,0.7555,0.7559,0.7602,0.7603,0.75278,1915,2012-02-13,0.7581,0.0027700831024930627,0.004704653820533482,0.004704653820533482,2012,Monday,0
11,1866,0.7603,0.7601,0.7614,0.7644,0.75666,1866,2012-02-14,0.7602,0.001578531965272269,0.002174307533882666,0.002174307533882666,2012,Tuesday,0
12,1968,0.7623,0.7616,0.7658,0.7665,0.75803,1968,2012-02-15,0.7614,0.005778828473864028,0.0036786802195681485,0.0036786802195681485,2012,Wednesday,0
13,1881,0.7668,0.7661,0.7616,0.77053,0.76005,1881,2012-02-16,0.7658,-0.00548446069469833,0.00014718388958284874,0.00014718388958284874,2012,Thursday,0
14,1410,0.7605,0.7617,0.7603,0.76237,0.75763,1410,2012-02-17,0.7616,-0.0017069327731093471,-0.0035956967339038385,0.0035956967339038385,2012,Friday,0
15,1877,0.7554,0.7566,0.7573,0.7585,0.75307,1877,2012-02-20,0.7603,-0.0039458108641325824,-0.0028263718186209647,0.0028263718186209647,2012,Monday,0
16,1901,0.7549,0.7572,0.7548,0.7582,0.7524,1901,2012-02-21,0.7573,-0.0033012016373959417,-0.003623506250764262,0.003623506250764262,2012,Tuesday,0
17,1910,0.7553,0.7549,0.7547,0.75681,0.75387,1910,2012-02-22,0.7548,-0.00013248542660305906,-0.0017168435319995005,0.0017168435319995005,2012,Wednesday,0
18,1840,0.7516,0.7543,0.7477,0.7556,0.7474,1840,2012-02-23,0.7547,-0.009275208692195582,-0.004703847059399321,0.004703847059399321,2012,Thursday,0
19,1785,0.7452,0.7476,0.7432,0.7486,0.74158,1785,2012-02-24,0.7477,-0.006018456600240817,-0.007646832646218201,0.007646832646218201,2012,Friday,1
20,1835,0.7455,0.7424,0.7459,0.74801,0.7424,1835,2012-02-27,0.7432,0.0036329386437029547,-0.0011927589782689322,0.0011927589782689322,2012,Monday,0
21,2563,0.7438,0.7457,0.7419,0.74676,0.7419,2563,2012-02-28,0.7459,-0.005362649148679452,-0.0008648552524882496,0.0008648552524882496,2012,Tuesday,0
22,2940,0.7459,0.7419,0.7504,0.751,0.7415,2940,2012-02-29,0.7419,0.011457069685941438,0.003047210268630992,0.003047210268630992,2012,Wednesday,0
23,2707,0.7506,0.7503,0.7506,0.7527,0.7487,2707,2012-03-01,0.7504,0.00026652452025598215,0.005861797103098709,0.005861797103098709,2012,Thursday,0
24,2590,0.7558,0.7508,0.7576,0.75818,0.7501,2590,2012-03-02,0.7506,0.009325872635225161,0.004796198577740571,0.004796198577740571,2012,Friday,0
25,1879,0.757,0.7584,0.7561,0.75975,0.75523,1879,2012-03-05,0.7576,-0.00197993664202753,0.003672967996598815,0.003672967996598815,2012,Monday,0
26,1922,0.7604,0.7562,0.762,0.76306,0.756,1922,2012-03-06,0.7561,0.007803200634836684,0.002911631996404577,0.002911631996404577,2012,Tuesday,0
27,1857,0.7611,0.7621,0.761,0.76337,0.75947,1857,2012-03-07,0.762,-0.0013123359580052504,0.003245432338415717,0.003245432338415717,2012,Wednesday,0
28,1934,0.7559,0.7609,0.7533,0.7612,0.75238,1934,2012-03-08,0.761,-0.010118265440210302,-0.005715300699107776,0.005715300699107776,2012,Thursday,0
29,1864,0.7588,0.7534,0.762,0.76342,0.7534,1864,2012-03-09,0.7533,0.0115491835921944,0.0007154590759920502,0.0007154590759920502,2012,Friday,0
30,1908,0.7619,0.7621,0.7592,0.76451,0.7592,1908,2012-03-12,0.762,-0.0036745406824147306,0.003937321454889836,0.003937321454889836,2012,Monday,0
