,Outlier Date,Outlier Close Price,Reference Point,Outlier Daily Return,Recovery Date,Recovery Close Price,Days to Recovery,Year,Reversal Date,Reversal Daily Return
0,2012-02-24,0.7432,0.7477,-0.006018456600240817,2012-03-01,0.7506,5,2012,2012-02-27,0.0036329386437029547
1,2012-06-29,0.79,0.8038,-0.017168449863149943,2012-07-05,0.807,5,2012,2012-07-02,0.0060759493670885
2,2012-07-05,0.807,0.807,0.010138941043935406,2012-07-09,0.8118,3,2012,2012-07-09,-0.002335012904018696
3,2012-07-06,0.8137,0.807,0.008302354399008584,2012-07-09,0.8118,2,2012,2012-07-09,-0.002335012904018696
4,2012-07-26,0.8143,0.8143,-0.011411921816195172,2012-07-30,0.8156,3,2012,2012-07-30,0.004928536224741257
5,2012-07-27,0.8116,0.8143,-0.003315731302959641,2012-07-30,0.8156,2,2012,2012-07-30,0.004928536224741257
6,2012-08-06,0.8071,0.8072,-0.00012388503468779608,2012-08-20,0.8095,11,2012,2012-08-07,0.00024780076818235405
7,2012-09-07,0.7802,0.7916,-0.014401212733703848,2012-09-21,0.7701,10,2012,2012-09-10,0.0043578569597538565
8,2012-09-14,0.7616,0.7696,-0.01039501039501026,2012-09-24,0.7727,7,2012,2012-09-17,0.0015756302521008124
9,2013-01-11,0.7493,0.7534,-0.005441996283514724,2013-01-23,0.7514,9,2013,2013-01-15,0.005217391304347696
10,2013-05-30,0.76684,0.77218,-0.006915486026574129,2013-05-31,0.76921,2,2013,2013-05-31,0.0030906056022116522
11,2013-07-10,0.7622,0.78252,-0.025967387415018153,2013-07-24,0.75804,10,2013,2013-07-11,0.002269745473628981
12,2013-09-18,0.73895,0.74868,-0.012996206657049763,2013-10-02,0.73595,10,2013,2013-09-20,0.0007308358596794946
13,2014-09-09,0.77285,0.77561,-0.003558489447015877,2014-09-15,0.7726,5,2014,2014-09-10,0.0013715468719673284
14,2014-12-01,0.80197,0.80197,0.018555679739890283,2014-12-04,0.80738,4,2014,2014-12-04,-0.0056284253956523965
15,2014-12-02,0.8072,0.80197,0.006521440951656631,2014-12-04,0.80738,3,2014,2014-12-04,-0.0056284253956523965
16,2014-12-18,0.81371,0.81044,0.004034845269236458,2015-01-01,0.82716,10,2014,2014-12-24,-0.00196011590250554
17,2015-01-23,0.892,0.88098,0.012508797021498819,2015-02-06,0.88361,11,2015,2015-01-26,-0.0031165919282511263
18,2015-03-11,0.94824,0.93375,0.01551807228915663,2015-03-19,0.93709,7,2015,2015-03-12,-0.0077301105205432675
19,2015-03-18,0.9219,0.94356,-0.022955614905252344,2015-04-01,0.92836,10,2015,2015-03-19,0.0164768413059984
20,2015-03-23,0.91337,0.92374,-0.011226102582977883,2015-04-02,0.91975,9,2015,2015-03-24,0.003788169088102323
21,2015-05-19,0.8971,0.88285,0.016140907288893905,2015-06-02,0.89679,10,2015,2015-05-21,-0.0009434799982240569
22,2015-06-03,0.88818,0.89679,-0.009600909912019544,2015-06-05,0.8992,3,2015,2015-06-04,0.004593663446598757
23,2015-08-24,0.86303,0.87804,-0.01709489317115402,2015-08-26,0.88176,3,2015,2015-08-25,0.00326755732709181
24,2015-08-27,0.8891,0.88176,0.008324260569769567,2015-09-10,0.88613,11,2015,2015-08-31,-0.0035357434571963026
25,2015-10-23,0.9081,0.90247,0.0062384345185989825,2015-10-27,0.90613,3,2015,2015-10-26,-0.004459861248761148
26,2015-12-03,0.91585,0.94228,-0.02804898756208341,2015-12-17,0.92225,10,2015,2015-12-04,0.003941693508762354
27,2016-02-03,0.90179,0.90179,-0.014792479215146447,2016-02-05,0.89614,3,2016,2016-02-05,0.003763525168574598
28,2016-02-04,0.89278,0.90179,-0.009991239645593722,2016-02-05,0.89614,2,2016,2016-02-05,0.003763525168574598
29,2016-03-10,0.89453,0.91,-0.01699999999999998,2016-03-24,0.89574,10,2016,2016-03-11,0.002425854918225219
30,2016-03-17,0.88363,0.8914,-0.00871662553286958,2016-03-28,0.89254,8,2016,2016-03-18,0.0031234792843158163
31,2016-06-03,0.87958,0.87958,-0.01922347851296796,2016-06-06,0.88005,2,2016,2016-06-06,0.0005343459378339326
32,2016-06-06,0.88005,0.87958,0.0005343459378339326,2016-06-08,0.87665,3,2016,2016-06-08,-0.00430466584889369
33,2016-06-24,0.90009,0.90009,0.01944683550038498,2016-06-28,0.90276,3,2016,2016-06-28,-0.005519019134802823
34,2016-06-27,0.90777,0.90009,0.008532480085324824,2016-06-28,0.90276,2,2016,2016-06-28,-0.005519019134802823
35,2016-12-09,0.9467,0.9413,0.00573674705194939,2016-12-13,0.9408,3,2016,2016-12-12,-0.007499735924791376
36,2016-12-15,0.95983,0.9512,0.009072750210260635,2016-12-27,0.95582,9,2016,2016-12-16,-0.003365179250492228
37,2017-01-05,0.9428,0.9525,-0.01018372703412078,2017-01-06,0.9492,2,2017,2017-01-06,0.006788290199406102
