,Outlier Date,Reference Point,Outlier Daily Avg Return,Recovery Date,Recovery Close Price,Days to Recovery,Year,Reversal Date,Reversal Daily Avg Return
0,2010-05-04,1.08545,0.012821436650573573,2010-05-18,1.15303,10,2010,2010-05-07,-0.0042047258927153525
1,2010-05-05,1.10369,0.01477611766445367,2010-05-07,1.10838,3,2010,2010-05-07,-0.0042047258927153525
2,2010-05-14,1.11767,0.009820608526002328,2010-05-28,1.15927,10,2010,2010-05-20,-0.0018699505363484678
3,2010-06-18,1.11133,-0.009974367376431656,2010-06-22,1.10806,3,2010,,
4,2010-07-01,1.0783,-0.010129054113897164,2010-07-15,1.04226,10,2010,2010-07-05,0.0026000089672237442
5,2010-07-29,1.05642,-0.010019260280227121,2010-08-04,1.05372,5,2010,2010-08-04,0.006977341299671956
6,2010-09-14,1.00794,-0.011468960194347136,2010-09-17,1.00962,4,2010,2010-09-16,0.009802519750912363
7,2010-11-03,0.97934,-0.010017952488557321,2010-11-11,0.97626,7,2010,2010-11-08,0.0049103848422043985
8,2010-11-04,0.97208,-0.010989929063914846,2010-11-08,0.96735,3,2010,2010-11-08,0.0049103848422043985
9,2010-12-03,0.99264,-0.01376514474714838,2010-12-07,0.9879,3,2010,2010-12-07,0.006418330451463726
10,2011-01-05,0.94711,0.016851897489862863,2011-01-19,0.95595,10,2011,2011-01-13,-0.00492589313570555
11,2011-07-13,0.83159,-0.015607316782579476,2011-07-27,0.80121,10,2011,2011-07-15,0.0016149693571764364
12,2011-08-09,0.75409,-0.028003514412836845,2011-08-23,0.79266,10,2011,2011-08-11,0.027160791765603588
13,2011-08-10,0.72295,-0.018607151083583795,2011-08-24,0.79571,10,2011,2011-08-11,0.027160791765603588
14,2011-08-11,0.7259,0.027160791765603588,2011-08-25,0.79348,10,2011,2011-08-18,-0.0005571440026395998
15,2011-08-12,0.76237,0.03472873551491193,2011-08-26,0.80679,10,2011,2011-08-18,-0.0005571440026395998
16,2011-09-01,0.80506,-0.015943468635145997,2011-09-15,0.8696,10,2011,2011-09-06,0.04535129407570804
17,2011-09-06,0.78497,0.04535129407570804,2011-09-20,0.88696,10,2011,2011-09-13,-0.0019424059160500994
18,2011-09-07,0.86091,0.04702386387539637,2011-09-21,0.90004,10,2011,2011-09-13,-0.0019424059160500994
19,2011-11-01,0.87721,0.01578369855887094,2011-11-03,0.87778,3,2011,2011-11-03,-0.006515974710200864
20,2012-01-05,0.94211,0.010967504545119982,2012-01-12,0.94394,6,2012,2012-01-09,-0.0022265314981112106
21,2012-01-18,0.94888,-0.008776186733161584,2012-02-01,0.9144,10,2012,2012-01-31,0.0042653943954667865
22,2012-01-19,0.93873,-0.00872531359475759,2012-02-02,0.91746,10,2012,2012-01-31,0.0042653943954667865
23,2012-03-14,0.92352,0.008865683211742073,2012-03-28,0.90445,10,2012,2012-03-15,-9.162440457529016e-05
24,2012-03-16,0.92328,-0.008982708906525395,2012-03-30,0.90157,10,2012,2012-03-21,0.0002637061088620093
25,2012-05-23,0.94848,0.009895789962034236,2012-06-06,0.95491,10,2012,2012-06-01,-0.0025372502328540564
26,2012-07-05,0.95961,0.008554867857079951,2012-07-19,0.97824,10,2012,2012-07-13,-0.0002891172726359409
27,2012-07-06,0.96917,0.009134228441894685,2012-07-20,0.98711,10,2012,2012-07-13,-0.0002891172726359409
28,2012-07-26,0.98923,-0.008845138340253998,2012-08-02,0.98631,6,2012,2012-07-30,0.0008136417289167715
29,2012-08-06,0.96978,-0.008560171642817457,2012-08-08,0.97083,3,2012,2012-08-08,0.0007218286104060623
30,2013-01-03,0.91785,0.011178297107370415,2013-01-07,0.92083,3,2013,2013-01-07,-0.003929635687590416
31,2013-01-15,0.92259,0.009772084036876958,2013-01-25,0.9268,9,2013,2013-01-22,-0.0022520634246900213
32,2013-05-10,0.94949,0.01148224639368736,2013-05-24,0.9607,10,2013,2013-05-16,-0.00031076790025385095
33,2013-05-24,0.97024,-0.01001710100961759,2013-06-07,0.93512,10,2013,2013-05-28,0.008497465909490087
34,2013-05-28,0.96295,0.008497465909490087,2013-06-11,0.92516,10,2013,2013-05-29,-0.0007488013675387151
35,2013-05-30,0.96128,-0.012106329701862754,2013-06-13,0.9234,10,2013,2013-06-10,0.0026118100641251375
36,2013-06-06,0.94215,-0.00996166178073304,2013-06-20,0.92619,10,2013,2013-06-10,0.0026118100641251375
37,2013-07-05,0.9581,0.008848254357720652,2013-07-19,0.9407,10,2013,2013-07-10,-0.00874635762307132
38,2013-07-10,0.97361,-0.00874635762307132,2013-07-24,0.93797,10,2013,2013-07-15,0.00046251799426271574
39,2013-07-11,0.94723,-0.013394441105185007,2013-07-15,0.94839,3,2013,2013-07-15,0.00046251799426271574
40,2014-01-03,0.8992,0.0064612989323843215,2014-01-10,0.90188,6,2014,2014-01-09,-0.0013243989966361968
41,2014-01-23,0.91217,-0.0069051611473964995,2014-02-06,0.90073,10,2014,2014-01-28,0.0034696005146223757
42,2014-01-24,0.89802,-0.010345258847742862,2014-01-28,0.89958,3,2014,2014-01-28,0.0034696005146223757
43,2014-02-28,0.8883,-0.006554008815399586,2014-03-04,0.88722,3,2014,2014-03-04,0.004670647586437938
44,2014-09-04,0.9178,0.0073394981119600106,2014-09-18,0.93417,10,2014,2014-09-12,-0.0022111971366869827
45,2014-09-05,0.93275,0.006772189670344864,2014-09-09,0.93235,3,2014,,
46,2014-11-06,0.96448,0.006950050914534585,2014-11-10,0.96787,3,2014,2014-11-10,-0.002541903998360068
47,2014-12-03,0.97185,0.006541931810434818,2014-12-08,0.97621,4,2014,2014-12-09,-0.003855202689277684
48,2014-12-10,0.9704,-0.006304318462521828,2014-12-17,0.97332,6,2014,2014-12-17,0.004147931011283646
49,2014-12-18,0.97332,0.010387357879725126,2015-01-05,1.00632,10,2014,2014-12-26,-0.00033703416872435334
50,2015-01-15,1.01897,-0.081503680544912,2015-01-29,0.92216,10,2015,2015-01-19,0.01520111981092948
