,v,vw,o,c,h,l,n,date,prev_close,daily_return,abs_daily_return,year,day,is_outlier,10-day MA,30-day Volatility,RSI,Price_Up_Down
65,69913,1.0329,1.03606,1.02891,1.04196,1.02621,69913,2010-01-04,,,1.02891,2010,Monday,0,1.0385909999999998,,45.33033876099568,1
66,76822,1.0304,1.029,1.03341,1.03596,1.02515,76822,2010-01-05,1.02891,0.004373560369711586,1.03341,2010,Tuesday,0,1.037668,,51.99131064446051,0
67,81057,1.0321,1.03341,1.02746,1.03783,1.0248,81057,2010-01-06,1.03341,-0.005757637336584609,1.02746,2010,Wednesday,0,1.035867,,38.0225233823248,1
68,72488,1.0321,1.02744,1.0337,1.03705,1.02414,72488,2010-01-07,1.02746,0.0060732291281412635,1.0337,2010,Thursday,0,1.034403,,45.471927689900966,0
69,73991,1.0311,1.03375,1.02325,1.03837,1.02151,73991,2010-01-08,1.0337,-0.01010931604914392,1.02325,2010,Friday,0,1.032823,,30.99009900990103,0
70,65957,1.0165,1.02022,1.01669,1.02055,1.01293,65957,2010-01-11,1.02325,-0.0064109455167357925,1.01669,2010,Monday,0,1.030813,,29.570146433632544,1
71,67721,1.0175,1.01669,1.01883,1.02075,1.01436,67721,2010-01-12,1.01669,0.002104869724301221,1.01883,2010,Tuesday,0,1.0291720000000002,,28.796561604584483,0
72,70582,1.0179,1.01883,1.01742,1.02182,1.01362,70582,2010-01-13,1.01883,-0.001383940402225996,1.01742,2010,Wednesday,0,1.0271560000000002,,24.804432855280126,1
73,72680,1.0198,1.01745,1.01863,1.02338,1.0159,72680,2010-01-14,1.01742,0.0011892826954452767,1.01863,2010,Thursday,0,1.025406,,30.83708708708683,1
74,73520,1.0253,1.01862,1.0265,1.02859,1.01853,73520,2010-01-15,1.01863,0.007726063438147359,1.0265,2010,Friday,0,1.02448,,41.26337238920004,0
75,35896,1.026,1.02659,1.02366,1.02907,1.02348,35896,2010-01-18,1.0265,-0.002766682903068635,1.02366,2010,Monday,0,1.0239550000000002,,40.37886340977066,1
76,74815,1.0309,1.0237,1.03274,1.03539,1.02285,74815,2010-01-19,1.02366,0.008870132661235153,1.03274,2010,Tuesday,0,1.0238880000000001,,46.38374178123132,1
77,85659,1.0413,1.03275,1.0435,1.04618,1.03255,85659,2010-01-20,1.03274,0.010418885682746968,1.0435,2010,Wednesday,0,1.025492,,54.83405483405493,0
78,99304,1.0447,1.04355,1.04189,1.04949,1.04024,99304,2010-01-21,1.0435,-0.0015428845232392057,1.04189,2010,Thursday,0,1.026311,,53.95637020782238,0
79,69780,1.0407,1.04197,1.03931,1.04449,1.03736,69780,2010-01-22,1.04189,-0.0024762690879075785,1.03931,2010,Friday,0,1.027917,,57.10382513661203,1
80,62572,1.0402,1.0413,1.03991,1.04229,1.03665,62572,2010-01-25,1.03931,0.0005773060973145009,1.03991,2010,Monday,0,1.0302390000000001,,54.68975468975468,1
81,77578,1.0446,1.04,1.04581,1.0491,1.03775,77578,2010-01-26,1.03991,0.005673567904914864,1.04581,2010,Tuesday,0,1.032937,,63.249097472924134,1
82,88660,1.0477,1.0458,1.0496,1.05242,1.04452,88660,2010-01-27,1.04581,0.003623985236324172,1.0496,2010,Wednesday,0,1.036155,,61.90119760479045,1
83,84231,1.0517,1.0497,1.05187,1.05543,1.04756,84231,2010-01-28,1.0496,0.00216272865853658,1.05187,2010,Thursday,0,1.039479,,74.41146366427853,1
84,98159,1.0537,1.05187,1.06057,1.06421,1.04808,98159,2010-01-29,1.05187,0.008270984056965146,1.06057,2010,Friday,0,1.042886,,86.10928242264646,0
85,70939,1.0587,1.06011,1.05674,1.06225,1.05523,70939,2010-02-01,1.06057,-0.003611265640174623,1.05674,2010,Monday,0,1.046194,,80.35228182546041,0
