,v,vw,o,c,h,l,n,date,daily_return,day_of_the_week,is_outlier,10-day MA,30-day Volatility,RSI,Price_Up_Down
0,69913,1.0329,1.03606,1.02891,1.04196,1.02621,69913,2010-01-04,0.0043735603697115,Monday,0,1.0385909999999998,0.0829181943015467,45.33033876099568,1
1,76822,1.0304,1.029,1.03341,1.03596,1.02515,76822,2010-01-05,0.0043735603697115,Tuesday,0,1.037668,0.0829181943015467,51.99131064446051,0
2,81057,1.0321,1.03341,1.02746,1.03783,1.0248,81057,2010-01-06,-0.0057576373365846,Wednesday,0,1.035867,0.0829181943015467,38.0225233823248,1
3,72488,1.0321,1.02744,1.0337,1.03705,1.02414,72488,2010-01-07,0.0060732291281412,Thursday,0,1.034403,0.0829181943015467,45.471927689900966,0
4,73991,1.0311,1.03375,1.02325,1.03837,1.02151,73991,2010-01-08,-0.0101093160491439,Friday,0,1.032823,0.0829181943015467,30.99009900990103,0
5,65957,1.0165,1.02022,1.01669,1.02055,1.01293,65957,2010-01-11,-0.0064109455167357,Monday,0,1.030813,0.0829181943015467,29.570146433632544,1
6,67721,1.0175,1.01669,1.01883,1.02075,1.01436,67721,2010-01-12,0.0021048697243012,Tuesday,0,1.0291720000000002,0.0829181943015467,28.796561604584483,0
7,70582,1.0179,1.01883,1.01742,1.02182,1.01362,70582,2010-01-13,-0.0013839404022259,Wednesday,0,1.0271560000000002,0.0829181943015467,24.80443285528013,1
8,72680,1.0198,1.01745,1.01863,1.02338,1.0159,72680,2010-01-14,0.0011892826954452,Thursday,0,1.025406,0.0829181943015467,30.83708708708683,1
9,73520,1.0253,1.01862,1.0265,1.02859,1.01853,73520,2010-01-15,0.0077260634381473,Friday,0,1.02448,0.0829181943015467,41.26337238920004,0
10,35896,1.026,1.02659,1.02366,1.02907,1.02348,35896,2010-01-18,-0.0027666829030686,Monday,0,1.0239550000000002,0.0829181943015467,40.37886340977066,1
11,74815,1.0309,1.0237,1.03274,1.03539,1.02285,74815,2010-01-19,0.0088701326612351,Tuesday,0,1.023888,0.0829181943015467,46.38374178123132,1
12,85659,1.0413,1.03275,1.0435,1.04618,1.03255,85659,2010-01-20,0.0104188856827469,Wednesday,0,1.025492,0.0829181943015467,54.83405483405493,0
13,99304,1.0447,1.04355,1.04189,1.04949,1.04024,99304,2010-01-21,-0.0015428845232392,Thursday,0,1.026311,0.0829181943015467,53.95637020782238,0
