,v,vw,o,c,h,l,n,date,prev_close,daily_return,abs_daily_return,source,outlier
1,66122,0.9168,0.91683,0.9165,0.9185,0.915416,66122,2023-06-26,0.91687,-0.00040354684960788493,0.00040354684960788493,historical,0
2,69255,0.9138,0.91656,0.91258,0.91724,0.911162,69255,2023-06-27,0.9165,-0.004277141298417932,0.004277141298417932,historical,0
3,74980,0.9144,0.91257,0.91612,0.91762,0.912,74980,2023-06-28,0.91258,0.0038791119682659043,0.0038791119682659043,historical,0
4,78279,0.9179,0.9159,0.92,0.92075,0.9137,78279,2023-06-29,0.91612,0.004235253023621354,0.004235253023621354,historical,0
5,75914,0.9186,0.92014,0.9159,0.92285,0.914495,75914,2023-06-30,0.92,-0.004456521739130427,0.004456521739130427,historical,0
6,2227,0.9166,0.91599,0.91676,0.91683,0.91579,2227,2023-07-02,0.9159,0.000938967136150204,0.000938967136150204,historical,0
7,66279,0.9171,0.91675,0.91632,0.91987,0.9143,66279,2023-07-03,0.91676,-0.00047995113224834845,0.00047995113224834845,historical,0
8,49341,0.9174,0.9163,0.9187,0.91935,0.9158,49341,2023-07-04,0.91632,0.0025973459053605045,0.0025973459053605045,historical,0
9,55495,0.9194,0.91885,0.92118,0.92157,0.91659,55495,2023-07-05,0.9187,0.0026994666376401848,0.0026994666376401848,historical,0
10,71399,0.9201,0.92116,0.9182,0.92304,0.917179,71399,2023-07-06,0.92118,-0.00323498121973988,0.00323498121973988,historical,0
11,76823,0.9163,0.91827,0.9111,0.92015,0.9109,76823,2023-07-07,0.9182,-0.007732520148115873,0.007732520148115873,historical,0
12,2799,0.9118,0.91113,0.9116,0.91218,0.91101,2799,2023-07-09,0.9111,0.000548787180331407,0.000548787180331407,historical,0
13,82515,0.9116,0.91178,0.90862,0.91376,0.9082,82515,2023-07-10,0.9116,-0.0032689776217639127,0.0032689776217639127,historical,0
14,74390,0.9088,0.90861,0.90793,0.91094,0.906783,74390,2023-07-11,0.90862,-0.0007593933657634307,0.0007593933657634307,historical,0
15,82724,0.9033,0.90794,0.89759,0.90807,0.8973,82724,2023-07-12,0.90793,-0.011388543169627632,0.011388543169627632,historical,1
16,78678,0.8947,0.89756,0.89096,0.89846,0.8902,78678,2023-07-13,0.89759,-0.007386445927427918,0.007386445927427918,historical,0
17,116361,0.8906,0.89093,0.889,0.89247,0.8889,116361,2023-07-14,0.89096,-0.002199874292897506,0.002199874292897506,historical,0
18,3762,0.8906,0.8897,0.8905,0.89096,0.8891,3762,2023-07-16,0.889,0.001687289088863831,0.001687289088863831,historical,0
19,100064,0.8903,0.89065,0.88985,0.89251,0.888652,100064,2023-07-17,0.8905,-0.0007299270072991897,0.0007299270072991897,historical,0
20,128010,0.8896,0.88984,0.89059,0.89214,0.886682,128010,2023-07-18,0.88985,0.0008316008316007899,0.0008316008316007899,historical,0
21,121323,0.8918,0.89057,0.89244,0.89486,0.8894,121323,2023-07-19,0.89059,0.002077274615704217,0.002077274615704217,historical,0
22,119991,0.8943,0.89242,0.89808,0.89937,0.8903,119991,2023-07-20,0.89244,0.00631975258840928,0.00631975258840928,historical,0
23,107054,0.8985,0.89808,0.8981,0.90027,0.897,107054,2023-07-21,0.89808,2.2269730981672012e-05,2.2269730981672012e-05,historical,0
24,3559,0.8986,0.89827,0.89889,0.89893,0.89786,3559,2023-07-23,0.8981,0.0008796347845451035,0.0008796347845451035,historical,0
25,118745,0.9014,0.89889,0.90388,0.90415,0.8969,118745,2023-07-24,0.89889,0.005551291036723125,0.005551291036723125,historical,0
26,109475,0.9044,0.90387,0.90495,0.90731,0.9017,109475,2023-07-25,0.90388,0.0011837854582466868,0.0011837854582466868,historical,0
27,128266,0.9034,0.90493,0.90267,0.90595,0.900171,128266,2023-07-26,0.90495,-0.002519476214155544,0.002519476214155544,historical,0
28,156010,0.9048,0.90266,0.91087,0.9119,0.89662,156010,2023-07-27,0.90267,0.009084161432195582,0.009084161432195582,historical,1
29,153104,0.9095,0.91085,0.9064,0.91377,0.905,153104,2023-07-28,0.91087,-0.004907396225586499,0.004907396225586499,historical,0
30,4512,0.907,0.90678,0.90711,0.90755,0.90653,4512,2023-07-30,0.9064,0.0007833186231244356,0.0007833186231244356,historical,0
31,123215,0.9075,0.9071,0.9092,0.90961,0.9051,123215,2023-07-31,0.90711,0.002304020460583652,0.002304020460583652,historical,0
32,114122,0.9108,0.90932,0.90842,0.913,0.9073,114122,2023-08-01,0.9092,-0.0008578970523537208,0.0008578970523537208,historical,0
33,137450,0.9118,0.90844,0.91374,0.91587,0.9083,137450,2023-08-02,0.90842,0.005856321965610611,0.005856321965610611,historical,0
34,136857,0.9145,0.91376,0.91313,0.91637,0.911993,136857,2023-08-03,0.91374,-0.0006675859653730814,0.0006675859653730814,historical,0
35,123775,0.9105,0.91314,0.9069,0.91449,0.9054,123775,2023-08-04,0.91313,-0.0068226868025362845,0.0068226868025362845,historical,0
36,4795,0.9085,0.90773,0.90887,0.90897,0.90705,4795,2023-08-06,0.9069,0.0021722350865585136,0.0021722350865585136,historical,0
37,108137,0.9096,0.90886,0.90885,0.91193,0.9077,108137,2023-08-07,0.90887,-2.2005347299293606e-05,2.2005347299293606e-05,historical,0
38,125402,0.9119,0.90883,0.91246,0.91496,0.907935,125402,2023-08-08,0.90885,0.003972052593937395,0.003972052593937395,historical,0
39,109194,0.911,0.91245,0.91095,0.91278,0.909174,109194,2023-08-09,0.91246,-0.001654867062665773,0.001654867062665773,historical,0
40,132467,0.9085,0.91094,0.91059,0.91177,0.90374,132467,2023-08-10,0.91095,-0.00039519183270215374,0.00039519183270215374,historical,0
41,118247,0.911,0.91057,0.912,0.91381,0.90843,118247,2023-08-11,0.91059,0.001548446611537599,0.001548446611537599,historical,0
42,3558,0.9136,0.912,0.91378,0.91402,0.91191,3558,2023-08-13,0.912,0.0019517543859649165,0.0019517543859649165,historical,0
43,126911,0.9153,0.91377,0.91674,0.91953,0.912159,126911,2023-08-14,0.91378,0.003239291733239907,0.003239291733239907,historical,0
44,133663,0.9155,0.91675,0.9169,0.91769,0.9128,133663,2023-08-15,0.91674,0.0001745314920261459,0.0001745314920261459,historical,0
45,136658,0.9169,0.91708,0.91955,0.91981,0.9143,136658,2023-08-16,0.9169,0.002890173410404548,0.002890173410404548,historical,0
46,139058,0.9191,0.91952,0.91956,0.9211,0.915667,139058,2023-08-17,0.91955,1.0874884454423916e-05,1.0874884454423916e-05,historical,0
47,124918,0.9196,0.91956,0.9183,0.92206,0.9177,124918,2023-08-18,0.91956,-0.0013702205402584267,0.0013702205402584267,historical,0
48,3126,0.9195,0.9191,0.91951,0.9198,0.91903,3126,2023-08-20,0.9183,0.0013176521833823853,0.0013176521833823853,historical,0
49,116256,0.9182,0.91951,0.9176,0.91997,0.916003,116256,2023-08-21,0.91951,-0.002077193287729419,0.002077193287729419,historical,0
50,117689,0.919,0.91759,0.92194,0.92307,0.914662,117689,2023-08-22,0.9176,0.004729729729729741,0.004729729729729741,historical,0
51,130852,0.9224,0.92193,0.92032,0.92571,0.91954,130852,2023-08-23,0.92194,-0.0017571642406229852,0.0017571642406229852,historical,0
52,120933,0.9223,0.92031,0.92597,0.92651,0.919033,120933,2023-08-24,0.92032,0.0061391689847009,0.0061391689847009,historical,0
53,120247,0.9264,0.92599,0.9263,0.92882,0.922169,120247,2023-08-25,0.92597,0.0003563830361675351,0.0003563830361675351,historical,0
54,3523,0.9261,0.92592,0.92616,0.92646,0.92562,3523,2023-08-27,0.9263,-0.00015113893986832451,0.00015113893986832451,historical,0
55,101839,0.9251,0.92615,0.92371,0.92623,0.923,101839,2023-08-28,0.92616,-0.0026453312602573555,0.0026453312602573555,historical,0
56,123001,0.9231,0.92369,0.9198,0.9274,0.917768,123001,2023-08-29,0.92371,-0.004232930248671206,0.004232930248671206,historical,0
57,116864,0.9173,0.91999,0.91493,0.92119,0.9133,116864,2023-08-30,0.9198,-0.005294629267231931,0.005294629267231931,historical,0
58,116678,0.9197,0.91493,0.92228,0.92291,0.9138,116678,2023-08-31,0.91493,0.008033401462406924,0.008033401462406924,historical,0
59,116569,0.9231,0.92228,0.9262,0.92829,0.91878,116569,2023-09-01,0.92228,0.00425033612352001,0.00425033612352001,historical,0
60,1,0.9262,0.9262,0.9262,0.9262,0.9262,1,2023-09-03,0.9262,0.0,0.0,historical,0
61,58922,0.9264,0.92785,0.92663,0.92806,0.924898,58922,2023-09-04,0.9262,0.00046426257827675494,0.00046426257827675494,historical,0
62,114953,0.9306,0.92664,0.93238,0.93399,0.9258,114953,2023-09-05,0.92663,0.0062052815039444365,0.0062052815039444365,historical,0
63,101438,0.9322,0.93238,0.93247,0.93434,0.93006,101438,2023-09-06,0.93238,9.652716703493693e-05,9.652716703493693e-05,historical,0
64,91986,0.934,0.93247,0.93475,0.93576,0.9315,91986,2023-09-07,0.93247,0.0024451188778190705,0.0024451188778190705,historical,0
