,date,v,vw,o,c,h,l,n,prev_close,returns,day type
0,2012-07-08 00:00:00,,,,,,,,,,prior day
1,2012-07-08 01:00:00,,,,,,,,,,prior day
2,2012-07-08 02:00:00,,,,,,,,,,prior day
3,2012-07-08 03:00:00,,,,,,,,,,prior day
4,2012-07-08 04:00:00,,,,,,,,,,prior day
5,2012-07-08 05:00:00,,,,,,,,,,prior day
6,2012-07-08 06:00:00,,,,,,,,,,prior day
7,2012-07-08 07:00:00,,,,,,,,,,prior day
8,2012-07-08 08:00:00,,,,,,,,,,prior day
9,2012-07-08 09:00:00,,,,,,,,,,prior day
10,2012-07-08 10:00:00,,,,,,,,,,prior day
11,2012-07-08 11:00:00,,,,,,,,,,prior day
12,2012-07-08 12:00:00,,,,,,,,,,prior day
13,2012-07-08 13:00:00,,,,,,,,,,prior day
14,2012-07-08 14:00:00,,,,,,,,,,prior day
15,2012-07-08 15:00:00,,,,,,,,,,prior day
16,2012-07-08 16:00:00,,,,,,,,,,prior day
17,2012-07-08 17:00:00,,,,,,,,,,prior day
18,2012-07-08 18:00:00,,,,,,,,,,prior day
19,2012-07-08 19:00:00,,,,,,,,,,prior day
20,2012-07-08 20:00:00,,,,,,,,,,prior day
21,2012-07-08 21:00:00,2.0,0.8149,0.8151,0.8146,0.8151,0.8146,2.0,,,prior day
22,2012-07-08 22:00:00,2.0,0.8148,0.8146,0.8149,0.8149,0.8146,2.0,0.8146,0.00036827890989438617,prior day
23,2012-07-08 23:00:00,25.0,0.8146,0.8147,0.8149,0.8151,0.8142,25.0,0.8149,0.0,prior day
24,2012-07-09 00:00:00,26.0,0.8142,0.8148,0.8141,0.8148,0.8139,26.0,0.8149,-0.0009817155479198822,prior day
25,2012-07-09 01:00:00,18.0,0.8139,0.8141,0.8135,0.8142,0.8134,18.0,0.8141,-0.0007370101953077569,prior day
26,2012-07-09 02:00:00,24.0,0.8134,0.8133,0.8134,0.8136,0.8132,24.0,0.8135,-0.00012292562999384018,prior day
27,2012-07-09 03:00:00,25.0,0.8137,0.8134,0.8137,0.814,0.8134,25.0,0.8134,0.0003688222276862146,prior day
28,2012-07-09 04:00:00,23.0,0.8136,0.8137,0.8138,0.8138,0.8134,23.0,0.8137,0.00012289541600096963,prior day
29,2012-07-09 05:00:00,24.0,0.8135,0.8139,0.8135,0.8139,0.8133,24.0,0.8138,-0.00036864094372077535,prior day
30,2012-07-09 06:00:00,112.0,0.8136,0.8134,0.8135,0.81392,0.81314,112.0,0.8135,0.0,prior day
31,2012-07-09 07:00:00,128.0,0.813,0.81301,0.81376,0.81376,0.81241,128.0,0.8135,0.00031960663798406635,prior day
32,2012-07-09 08:00:00,120.0,0.8143,0.81358,0.8145,0.81472,0.81358,120.0,0.81376,0.0009093590247738435,prior day
33,2012-07-09 09:00:00,111.0,0.8141,0.81452,0.8136,0.81476,0.8136,111.0,0.8145,-0.0011049723756906223,prior day
34,2012-07-09 10:00:00,112.0,0.8132,0.8137,0.8127,0.8143,0.81199,112.0,0.8136,-0.0011061946902655015,prior day
35,2012-07-09 11:00:00,117.0,0.813,0.8127,0.8132,0.81344,0.81261,117.0,0.8127,0.0006152331733727771,prior day
36,2012-07-09 12:00:00,103.0,0.8128,0.81334,0.8131,0.81346,0.81202,103.0,0.8132,-0.00012297097884897808,prior day
37,2012-07-09 13:00:00,125.0,0.8134,0.81305,0.81342,0.814,0.8129,125.0,0.8131,0.0003935555282252945,prior day
38,2012-07-09 14:00:00,130.0,0.8137,0.8132,0.8131,0.81427,0.81305,130.0,0.81342,-0.0003934007032037409,prior day
39,2012-07-09 15:00:00,178.0,0.8128,0.81293,0.81299,0.81319,0.81235,178.0,0.8131,-0.00013528471282751753,prior day
40,2012-07-09 16:00:00,248.0,0.8124,0.81288,0.8124,0.81307,0.81152,248.0,0.81299,-0.0007257161834708662,prior day
41,2012-07-09 17:00:00,136.0,0.8121,0.81241,0.81214,0.81242,0.81182,136.0,0.8124,-0.0003200393894633653,prior day
42,2012-07-09 18:00:00,165.0,0.8122,0.812,0.8122,0.81255,0.81182,165.0,0.81214,7.387888787654839e-05,prior day
43,2012-07-09 19:00:00,215.0,0.812,0.81208,0.812,0.8124,0.81156,215.0,0.8122,-0.00024624476729866775,prior day
44,2012-07-09 20:00:00,24.0,0.8118,0.81192,0.812,0.8121,0.8115,24.0,0.812,0.0,prior day
45,2012-07-09 21:00:00,24.0,0.8119,0.8121,0.812,0.8121,0.8117,24.0,0.812,0.0,prior day
46,2012-07-09 22:00:00,21.0,0.812,0.8119,0.8119,0.8122,0.8119,21.0,0.812,-0.00012315270935972907,prior day
47,2012-07-09 23:00:00,27.0,0.8117,0.8119,0.8118,0.8119,0.8115,27.0,0.8119,-0.00012316787781745166,prior day
48,2012-07-10 00:00:00,27.0,0.8124,0.8117,0.8127,0.8131,0.8117,27.0,0.8118,0.0011086474501108795,prior day
49,2012-07-10 01:00:00,25.0,0.8126,0.8128,0.8127,0.8128,0.8124,25.0,0.8127,0.0,prior day
50,2012-07-10 02:00:00,27.0,0.8131,0.8126,0.8134,0.8135,0.8126,27.0,0.8127,0.0008613264427218333,prior day
51,2012-07-10 03:00:00,30.0,0.8135,0.8135,0.8139,0.814,0.8132,30.0,0.8134,0.0006147037128103577,prior day
52,2012-07-10 04:00:00,23.0,0.8139,0.814,0.8139,0.814,0.8138,23.0,0.8139,0.0,prior day
53,2012-07-10 05:00:00,173.0,0.8137,0.8139,0.8137,0.81401,0.81334,173.0,0.8139,-0.00024573043371418847,prior day
54,2012-07-10 06:00:00,158.0,0.8134,0.81346,0.8129,0.81378,0.81282,158.0,0.8137,-0.0009831633280078934,prior day
55,2012-07-10 07:00:00,184.0,0.8134,0.81302,0.81366,0.8142,0.81281,184.0,0.8129,0.0009349243449379923,prior day
56,2012-07-10 08:00:00,213.0,0.8128,0.81354,0.812,0.81378,0.81149,213.0,0.81366,-0.002040164196347362,prior day
57,2012-07-10 09:00:00,202.0,0.8115,0.81189,0.8115,0.81209,0.81064,202.0,0.812,-0.0006157635467980984,prior day
58,2012-07-10 10:00:00,193.0,0.8119,0.81157,0.81235,0.81235,0.8115,193.0,0.8115,0.0010474430067775938,prior day
59,2012-07-10 11:00:00,207.0,0.8123,0.81239,0.8126,0.8127,0.81189,207.0,0.81235,0.0003077491229149658,prior day
60,2012-07-10 12:00:00,185.0,0.8142,0.81276,0.8143,0.81537,0.8126,185.0,0.8126,0.0020920502092050637,prior day
61,2012-07-10 13:00:00,170.0,0.8139,0.81436,0.8147,0.8147,0.813,170.0,0.8143,0.0004912194522902566,prior day
62,2012-07-10 14:00:00,163.0,0.8155,0.81466,0.8158,0.81633,0.8145,163.0,0.8147,0.0013501902540812446,prior day
63,2012-07-10 15:00:00,219.0,0.8164,0.81591,0.81579,0.8172,0.81579,219.0,0.8158,-1.2257906349539704e-05,prior day
64,2012-07-10 16:00:00,193.0,0.816,0.8159,0.8157,0.81643,0.8157,193.0,0.81579,-0.00011032250946939101,prior day
65,2012-07-10 17:00:00,193.0,0.8158,0.81573,0.8157,0.81613,0.81546,193.0,0.8157,0.0,prior day
66,2012-07-10 18:00:00,188.0,0.816,0.8158,0.8161,0.81646,0.81539,188.0,0.8157,0.0004903763638593441,prior day
67,2012-07-10 19:00:00,160.0,0.816,0.8162,0.8161,0.8162,0.81573,160.0,0.8161,0.0,prior day
68,2012-07-10 20:00:00,24.0,0.8161,0.8162,0.8163,0.8163,0.8159,24.0,0.8161,0.00024506800637174117,prior day
69,2012-07-10 21:00:00,24.0,0.8162,0.8162,0.8161,0.8164,0.8159,24.0,0.8163,-0.0002450079627587627,prior day
70,2012-07-10 22:00:00,18.0,0.8163,0.8162,0.8162,0.8163,0.8161,18.0,0.8161,0.00012253400318587058,prior day
71,2012-07-10 23:00:00,22.0,0.8161,0.8163,0.8159,0.8163,0.8159,22.0,0.8162,-0.00036755697133065176,prior day
72,2012-07-11 00:00:00,21.0,0.816,0.8158,0.816,0.8163,0.8158,21.0,0.8159,0.00012256403971073538,outlier day
73,2012-07-11 01:00:00,25.0,0.8159,0.8159,0.8157,0.8161,0.8156,25.0,0.816,-0.00036764705882348897,outlier day
74,2012-07-11 02:00:00,22.0,0.8154,0.8156,0.8154,0.8158,0.8151,22.0,0.8157,-0.000367782272894406,outlier day
75,2012-07-11 03:00:00,23.0,0.8157,0.8155,0.816,0.8161,0.8153,23.0,0.8154,0.0007358351729211845,outlier day
76,2012-07-11 04:00:00,27.0,0.8158,0.8161,0.8157,0.8161,0.8155,27.0,0.816,-0.00036764705882348897,outlier day
77,2012-07-11 05:00:00,131.0,0.8155,0.8157,0.815,0.81586,0.815,131.0,0.8157,-0.0008581586367537501,outlier day
78,2012-07-11 06:00:00,115.0,0.8153,0.81515,0.81526,0.81581,0.81499,115.0,0.815,0.00031901840490802206,outlier day
79,2012-07-11 07:00:00,115.0,0.815,0.8154,0.815,0.81579,0.81448,115.0,0.81526,-0.00031891666462237567,outlier day
