,date,v,vw,o,c,h,l,n,prev_close,returns,day type
0,5/22/10 0:00,,,,,,,,,,prior day
1,5/22/10 1:00,,,,,,,,,,prior day
2,5/22/10 2:00,,,,,,,,,,prior day
3,5/22/10 3:00,,,,,,,,,,prior day
4,5/22/10 4:00,,,,,,,,,,prior day
5,5/22/10 5:00,,,,,,,,,,prior day
6,5/22/10 6:00,,,,,,,,,,prior day
7,5/22/10 7:00,,,,,,,,,,prior day
8,5/22/10 8:00,,,,,,,,,,prior day
9,5/22/10 9:00,,,,,,,,,,prior day
10,5/22/10 10:00,,,,,,,,,,prior day
11,5/22/10 11:00,,,,,,,,,,prior day
12,5/22/10 12:00,,,,,,,,,,prior day
13,5/22/10 13:00,,,,,,,,,,prior day
14,5/22/10 14:00,,,,,,,,,,prior day
15,5/22/10 15:00,,,,,,,,,,prior day
16,5/22/10 16:00,,,,,,,,,,prior day
17,5/22/10 17:00,,,,,,,,,,prior day
18,5/22/10 18:00,,,,,,,,,,prior day
19,5/22/10 19:00,,,,,,,,,,prior day
20,5/22/10 20:00,,,,,,,,,,prior day
21,5/22/10 21:00,,,,,,,,,,prior day
22,5/22/10 22:00,,,,,,,,,,prior day
23,5/22/10 23:00,,,,,,,,,,prior day
24,5/23/10 0:00,,,,,,,,,,prior day
25,5/23/10 1:00,,,,,,,,,,prior day
26,5/23/10 2:00,,,,,,,,,,prior day
27,5/23/10 3:00,,,,,,,,,,prior day
28,5/23/10 4:00,,,,,,,,,,prior day
29,5/23/10 5:00,,,,,,,,,,prior day
30,5/23/10 6:00,,,,,,,,,,prior day
31,5/23/10 7:00,,,,,,,,,,prior day
32,5/23/10 8:00,,,,,,,,,,prior day
33,5/23/10 9:00,,,,,,,,,,prior day
34,5/23/10 10:00,,,,,,,,,,prior day
35,5/23/10 11:00,,,,,,,,,,prior day
36,5/23/10 12:00,,,,,,,,,,prior day
37,5/23/10 13:00,,,,,,,,,,prior day
38,5/23/10 14:00,,,,,,,,,,prior day
39,5/23/10 15:00,,,,,,,,,,prior day
40,5/23/10 16:00,,,,,,,,,,prior day
41,5/23/10 17:00,,,,,,,,,,prior day
42,5/23/10 18:00,,,,,,,,,,prior day
43,5/23/10 19:00,,,,,,,,,,prior day
44,5/23/10 20:00,,,,,,,,,,prior day
