,v,vw,o,c,h,l,n,date,prev_close,daily_return,abs_daily_return
0,75,0.9113,0.91113,0.9113,0.91186,0.91101,75,2023-07-09 20:00:00,,,
1,198,0.9117,0.9113,0.91177,0.91195,0.9113,198,2023-07-09 21:00:00,0.9113,0.0005157467354328656,0.0005157467354328656
2,1491,0.9118,0.91174,0.91183,0.91191,0.91155,1491,2023-07-09 22:00:00,0.91177,6.580606951321058e-05,6.580606951321058e-05
3,1035,0.9119,0.91186,0.9116,0.91218,0.9115,1035,2023-07-09 23:00:00,0.91183,-0.00025224000087742615,0.00025224000087742615
4,2351,0.9123,0.91178,0.91203,0.91263,0.9115,2351,2023-07-10 00:00:00,0.9116,0.00047169811320759266,0.00047169811320759266
5,2992,0.9121,0.91202,0.91234,0.91259,0.9114,2992,2023-07-10 01:00:00,0.91203,0.00033990109974456155,0.00033990109974456155
6,2735,0.9124,0.91233,0.91232,0.91267,0.9119,2735,2023-07-10 02:00:00,0.91234,-2.1921652015717827e-05,2.1921652015717827e-05
7,2228,0.9126,0.91229,0.912575,0.91298,0.912,2228,2023-07-10 03:00:00,0.91232,0.00027950719045949363,0.00027950719045949363
8,2287,0.9126,0.91272,0.91295,0.91299,0.912159,2287,2023-07-10 04:00:00,0.912575,0.00041092512944143134,0.00041092512944143134
9,2527,0.913,0.91294,0.91352,0.91354,0.912326,2527,2023-07-10 05:00:00,0.91295,0.0006243496357960013,0.0006243496357960013
10,3544,0.9131,0.91355,0.91317,0.91362,0.912575,3544,2023-07-10 06:00:00,0.91352,-0.00038313337420085104,0.00038313337420085104
11,3946,0.9128,0.91316,0.91281,0.91335,0.9117,3946,2023-07-10 07:00:00,0.91317,-0.0003942310851210913,0.0003942310851210913
12,3246,0.9125,0.9127,0.91198,0.91298,0.911577,3246,2023-07-10 08:00:00,0.91281,-0.0009092801349678437,0.0009092801349678437
13,3555,0.9117,0.91199,0.91222,0.91229,0.910913,3555,2023-07-10 09:00:00,0.91198,0.0002631636658698853,0.0002631636658698853
14,3147,0.9124,0.91223,0.91246,0.91282,0.91166,3147,2023-07-10 10:00:00,0.91222,0.00026309442897548617,0.00026309442897548617
15,4188,0.9125,0.91245,0.91288,0.91296,0.911826,4188,2023-07-10 11:00:00,0.91246,0.00046029414988051634,0.00046029414988051634
16,5624,0.9132,0.91283,0.91348,0.91376,0.912159,5624,2023-07-10 12:00:00,0.91288,0.0006572605380772215,0.0006572605380772215
17,7329,0.9125,0.91343,0.91178,0.91347,0.9113,7329,2023-07-10 13:00:00,0.91348,-0.0018610150194858387,0.0018610150194858387
18,7163,0.9112,0.91177,0.91114,0.91186,0.910332,7163,2023-07-10 14:00:00,0.91178,-0.0007019237096668987,0.0007019237096668987
19,5915,0.9104,0.91113,0.90991,0.91113,0.909339,5915,2023-07-10 15:00:00,0.91114,-0.0013499571964790849,0.0013499571964790849
20,4372,0.9101,0.90987,0.90994,0.91049,0.909422,4372,2023-07-10 16:00:00,0.90991,3.2970293765289415e-05,3.2970293765289415e-05
21,4053,0.9097,0.90992,0.90947,0.91013,0.908926,4053,2023-07-10 17:00:00,0.90994,-0.0005165175725871711,0.0005165175725871711
22,3758,0.9094,0.90946,0.90913,0.90979,0.908843,3758,2023-07-10 18:00:00,0.90947,-0.00037384410700738556,0.00037384410700738556
23,3305,0.9091,0.90914,0.90921,0.90936,0.908678,3305,2023-07-10 19:00:00,0.90913,8.79962161626709e-05,8.79962161626709e-05
24,1637,0.909,0.90919,0.90895,0.90931,0.9087,1637,2023-07-10 20:00:00,0.90921,-0.0002859625389073228,0.0002859625389073228
25,547,0.9089,0.90895,0.90903,0.9093,0.9082,547,2023-07-10 21:00:00,0.90895,8.801364211449363e-05,8.801364211449363e-05
26,928,0.909,0.90907,0.90895,0.9091,0.9085,928,2023-07-10 22:00:00,0.90903,-8.800589639502435e-05,8.800589639502435e-05
27,1138,0.9087,0.90894,0.90862,0.90895,0.9083,1138,2023-07-10 23:00:00,0.90895,-0.0003630562737224847,0.0003630562737224847
28,2288,0.9086,0.90861,0.9085,0.90893,0.9081,2288,2023-07-11 00:00:00,0.90862,-0.00013206841143713433,0.00013206841143713433
29,2530,0.9083,0.90851,0.90827,0.90859,0.9078,2530,2023-07-11 01:00:00,0.9085,-0.000253164556961973,0.000253164556961973
30,2445,0.9081,0.90828,0.9075,0.90855,0.9072,2445,2023-07-11 02:00:00,0.90827,-0.0008477655322756982,0.0008477655322756982
31,2336,0.9078,0.90751,0.9074,0.90806,0.9073,2336,2023-07-11 03:00:00,0.9075,-0.0001101928374655526,0.0001101928374655526
32,2075,0.9076,0.90762,0.90742,0.9078,0.907112,2075,2023-07-11 04:00:00,0.9074,2.204099625305268e-05,2.204099625305268e-05
33,2863,0.9076,0.9073,0.90848,0.90855,0.907,2863,2023-07-11 05:00:00,0.90742,0.001168147054285722,0.001168147054285722
34,4729,0.9075,0.90844,0.90729,0.90845,0.906783,4729,2023-07-11 06:00:00,0.90848,-0.0013098802395208628,0.0013098802395208628
35,5176,0.9079,0.90731,0.90841,0.90846,0.907029,5176,2023-07-11 07:00:00,0.90729,0.001234445436409538,0.001234445436409538
36,4036,0.9082,0.90843,0.90882,0.90883,0.9076,4036,2023-07-11 08:00:00,0.90841,0.000451338052201,0.000451338052201
37,4259,0.9088,0.90879,0.90855,0.90926,0.9081,4259,2023-07-11 09:00:00,0.90882,-0.00029708853238264175,0.00029708853238264175
38,3485,0.9084,0.90854,0.90859,0.90876,0.907771,3485,2023-07-11 10:00:00,0.90855,4.4026195586417926e-05,4.4026195586417926e-05
39,3885,0.9094,0.9086,0.91037,0.91047,0.908265,3885,2023-07-11 11:00:00,0.90859,0.001959079452778485,0.001959079452778485
40,4371,0.9103,0.91038,0.91054,0.91094,0.90967,4371,2023-07-11 12:00:00,0.91037,0.00018673726067423518,0.00018673726067423518
41,5362,0.9102,0.91053,0.91011,0.91078,0.909339,5362,2023-07-11 13:00:00,0.91054,-0.0004722472379028285,0.0004722472379028285
